,yardline_100,probability_of_touchdown
0,1,0.5172774869109947
3,2,0.4552572706935123
5,3,0.42655935613682094
7,4,0.3695852534562212
9,5,0.39298561151079137
11,6,0.3193449334698055
13,7,0.3076923076923077
15,8,0.2734042553191489
17,9,0.24792626728110598
19,10,0.2372448979591837
21,11,0.20577617328519857
23,12,0.18198198198198198
25,13,0.17075306479859895
27,14,0.14320388349514562
29,15,0.13814756671899528
31,16,0.12102473498233215
33,17,0.11194029850746269
35,18,0.11670663469224621
37,19,0.10227272727272728
39,20,0.11903114186851212
41,21,0.08825978351373855
43,22,0.09134233518665608
45,23,0.07178750897343862
47,24,0.06777217015140591
49,25,0.0795006570302234
51,26,0.06199261992619926
53,27,0.04382761139517896
55,28,0.058394160583941604
57,29,0.05547550432276657
59,30,0.0463980463980464
61,31,0.04131054131054131
63,32,0.04169381107491857
65,33,0.034597471723220224
67,34,0.03519417475728155
69,35,0.038052602126468944
71,36,0.026396562308164517
73,37,0.027346177750155375
75,38,0.023391812865497075
77,39,0.028232636928289104
79,40,0.03006012024048096
81,41,0.027647058823529413
83,42,0.027793862188766647
85,43,0.024613623354321695
87,44,0.020736132711249352
89,45,0.018627450980392157
91,46,0.015219842164599774
93,47,0.019483938915218536
95,48,0.01636093207734259
97,49,0.015121951219512195
99,50,0.012616566099835436
101,51,0.015640273704789834
103,52,0.014029995162070633
105,53,0.01852731591448931
107,54,0.015238095238095238
109,55,0.014913657770800628
111,56,0.014027149321266969
113,57,0.010564997703261369
115,58,0.007216959855660803
117,59,0.011764705882352941
119,60,0.007457386363636364
121,61,0.012422360248447204
123,62,0.007140023800079333
125,63,0.008133230054221533
127,64,0.009307520476545048
129,65,0.008005822416302766
131,66,0.011373578302712161
133,67,0.010429703796412181
135,68,0.005880047040376323
137,69,0.010048381094157052
139,70,0.010136315973435861
141,71,0.007857733664185277
143,72,0.012380191693290734
145,73,0.009205983889528193
147,74,0.008232065856526851
149,75,0.009979056301589257
151,76,0.009786476868327402
153,77,0.0081374321880651
155,78,0.00804162724692526
157,79,0.011892450879007239
159,80,0.008644991542943056
161,81,0.008365508365508366
163,82,0.0046204620462046205
165,83,0.010703363914373088
167,84,0.011177347242921014
169,85,0.005952380952380952
171,86,0.006704980842911878
173,87,0.01312910284463895
175,88,0.013963480128893663
177,89,0.008547008547008548
179,90,0.004708097928436911
181,91,0.009722222222222222
183,92,0.014802631578947368
185,93,0.007246376811594203
187,94,0.015706806282722512
189,95,0.0072992700729927005
191,96,0.0032679738562091504
193,97,0.009389671361502348
195,98,0.015625
197,99,0.02857142857142857
