,yardline_100,probability_of_touchdown
0,1,0.5310015898251192
3,2,0.45058626465661644
5,3,0.4201438848920863
7,4,0.38231098430813126
9,5,0.39335180055401664
11,6,0.3375796178343949
13,7,0.3081570996978852
15,8,0.2569558101472995
17,9,0.25594405594405595
19,10,0.23289473684210527
21,11,0.20026702269692923
23,12,0.17842876165113183
25,13,0.1640625
27,14,0.14610778443113773
29,15,0.1430274135876043
31,16,0.10490463215258855
33,17,0.1104368932038835
35,18,0.11933174224343675
37,19,0.10532407407407407
39,20,0.11203319502074689
41,21,0.08292079207920793
43,22,0.09232613908872901
45,23,0.07543103448275862
47,24,0.06485355648535565
49,25,0.07795957651588066
51,26,0.0546875
53,27,0.036585365853658534
55,28,0.06316916488222699
57,29,0.05938494167550371
59,30,0.045998160073597055
61,31,0.033622559652928416
63,32,0.03850050658561297
65,33,0.03988035892323031
67,34,0.03202195791399817
69,35,0.03507271171941831
71,36,0.025139664804469275
73,37,0.03151065801668211
75,38,0.02443280977312391
77,39,0.026380873866446827
79,40,0.03146067415730337
81,41,0.02736098852603707
83,42,0.02756244616709733
85,43,0.021757322175732216
87,44,0.021243115656963022
89,45,0.01903367496339678
91,46,0.015113350125944584
93,47,0.015151515151515152
95,48,0.016105417276720352
97,49,0.016690856313497822
99,50,0.010710808179162609
101,51,0.015521064301552107
103,52,0.015815959741193385
105,53,0.0205819730305181
107,54,0.015748031496062992
109,55,0.0136986301369863
111,56,0.013531799729364006
113,57,0.009668508287292817
115,58,0.008275862068965517
117,59,0.010705289672544081
119,60,0.005405405405405406
121,61,0.010552451893234015
123,62,0.0070052539404553416
125,63,0.0046430644225188625
127,64,0.009513742071881607
129,65,0.007950028392958546
131,66,0.010416666666666666
133,67,0.011695906432748537
135,68,0.006045949214026602
137,69,0.008547008547008548
139,70,0.008064516129032258
141,71,0.007255139056831923
143,72,0.012567324955116697
145,73,0.007615700058582308
147,74,0.006618531889290012
149,75,0.010433042732599686
151,76,0.009386281588447653
153,77,0.006987577639751553
155,78,0.00889248181083266
157,79,0.011353711790393014
159,80,0.00554016620498615
161,81,0.0022172949002217295
163,82,0.0033594624860022394
165,83,0.009114583333333334
167,84,0.011876484560570071
169,85,0.00631578947368421
171,86,0.0047169811320754715
173,87,0.008976660682226212
175,88,0.015901060070671377
177,89,0.012244897959183673
179,90,0.0033222591362126247
181,91,0.004329004329004329
183,92,0.014084507042253521
185,93,0.004098360655737705
187,94,0.01639344262295082
189,95,0.007518796992481203
191,96,0.005076142131979695
193,97,0.013605442176870748
195,98,0.017543859649122806
197,99,0.023076923076923078
