,yardline_100,probability_of_touchdown
0,1,0.5817245817245817
3,2,0.4688473520249221
5,3,0.3633217993079585
7,4,0.31150442477876106
9,5,0.2553542009884679
11,6,0.17973231357552583
13,7,0.17422867513611615
15,8,0.155668358714044
17,9,0.0941385435168739
19,10,0.11290322580645161
21,11,0.08869565217391304
23,12,0.06313993174061433
25,13,0.06631762652705062
27,14,0.0704
29,15,0.03627760252365931
31,16,0.04187604690117253
33,17,0.034129692832764506
35,18,0.0462046204620462
37,19,0.030744336569579287
39,20,0.03587443946188341
41,21,0.03790613718411552
43,22,0.025757575757575757
45,23,0.03125
47,24,0.012802275960170697
49,25,0.010810810810810811
51,26,0.012195121951219513
53,27,0.015128593040847202
55,28,0.015804597701149427
57,29,0.01227830832196453
59,30,0.014285714285714285
61,31,0.00141643059490085
63,32,0.005780346820809248
65,33,0.008086253369272238
67,34,0.013836477987421384
69,35,0.011264080100125156
71,36,0.0056179775280898875
73,37,0.00801068090787717
75,38,0.006858710562414266
77,39,0.001226993865030675
79,40,0.007067137809187279
81,41,0.008838383838383838
83,42,0.007905138339920948
85,43,0.004975124378109453
87,44,0.007220216606498195
89,45,0.005230125523012552
91,46,0.00878293601003764
93,47,0.007643312101910828
95,48,0.0023894862604540022
97,49,0.00322234156820623
99,50,0.0031847133757961785
101,51,0.006825938566552901
103,52,0.006711409395973154
105,53,0.0010570824524312897
107,54,0.003980099502487562
109,55,0.003838771593090211
111,56,0.004310344827586207
113,57,0.005382131324004306
115,58,0.007963594994311717
117,59,0.0009699321047526673
119,60,0.00502092050209205
121,61,0.001976284584980237
123,62,0.003929273084479371
125,63,0.003524229074889868
127,64,0.0016877637130801688
129,65,0.002506265664160401
131,66,0.00205620287868403
133,67,0.002944062806673209
135,68,0.00682261208576998
137,69,0.0026642984014209592
139,70,0.0032679738562091504
142,72,0.003076923076923077
145,74,0.004140786749482402
147,75,0.003145817912657291
149,76,0.002564102564102564
151,77,0.00392156862745098
153,78,0.0027397260273972603
156,80,0.002242152466367713
158,81,0.0016835016835016834
160,82,0.003401360544217687
162,83,0.0019880715705765406
164,84,0.00411522633744856
166,85,0.003134796238244514
169,87,0.002352941176470588
171,88,0.0024813895781637717
173,89,0.002512562814070352
175,90,0.003976143141153081
177,91,0.0026666666666666666
179,92,0.005714285714285714
182,94,0.004273504273504274
186,97,0.006060606060606061
188,98,0.005405405405405406
190,99,0.005208333333333333
