,yardline_100,probability_of_touchdown
0,1,0.575530035335689
3,2,0.44739638682252925
5,3,0.3562281722933644
7,4,0.2979242979242979
9,5,0.24888392857142858
11,6,0.17073170731707318
13,7,0.16296296296296298
15,8,0.15375722543352602
17,9,0.09579439252336448
19,10,0.10414201183431952
21,11,0.0892018779342723
23,12,0.05909090909090909
25,13,0.06365740740740741
27,14,0.06637168141592921
29,15,0.040372670807453416
31,16,0.04186046511627907
33,17,0.03881278538812785
35,18,0.03945885005636979
37,19,0.030752916224814422
39,20,0.033797216699801194
41,21,0.02702702702702703
43,22,0.021966527196652718
45,23,0.02615062761506276
47,24,0.01262135922330097
49,25,0.011850501367365542
51,26,0.01440329218106996
53,27,0.014213197969543147
55,28,0.015355086372360844
57,29,0.009149130832570906
59,30,0.014873140857392825
61,31,0.005660377358490566
63,32,0.0072992700729927005
65,33,0.006266786034019696
67,34,0.0125
69,35,0.012135922330097087
71,36,0.006261180679785331
73,37,0.009009009009009009
75,38,0.014692378328741965
77,39,0.00333889816360601
79,40,0.008627450980392156
81,41,0.009228187919463088
83,42,0.005190311418685121
85,43,0.00564516129032258
87,44,0.006334125098970704
89,45,0.004137931034482759
91,46,0.0056179775280898875
93,47,0.00667779632721202
95,48,0.005490196078431373
97,49,0.0044411547002220575
99,50,0.008108108108108109
101,51,0.005997001499250375
103,52,0.0053639846743295016
105,53,0.002086230876216968
107,54,0.003924133420536298
109,55,0.0024676125848241827
111,56,0.0028188865398167725
113,57,0.004152249134948097
115,58,0.005621925509486999
117,59,0.0006430868167202572
119,60,0.0054288816503800215
121,61,0.0013297872340425532
123,62,0.0032938076416337285
125,63,0.004722550177095631
127,64,0.0011668611435239206
129,65,0.004324324324324324
131,66,0.0014844136566056407
133,67,0.0038071065989847717
135,68,0.005710659898477157
137,69,0.0034207525655644243
139,70,0.002183406113537118
141,71,0.0017411491584445734
143,72,0.0026560424966799467
145,73,0.0013559322033898306
147,74,0.0027624309392265192
149,75,0.002966381015161503
151,76,0.0030349013657056147
153,77,0.0032102728731942215
155,78,0.0024429967426710096
157,79,0.0008257638315441783
159,80,0.0023747328425552127
161,81,0.0009910802775024777
163,82,0.0021321961620469083
165,83,0.0012004801920768306
167,84,0.0023612750885478157
169,85,0.003925417075564278
172,87,0.0044444444444444444
174,88,0.0015552099533437014
176,89,0.00473186119873817
178,90,0.004807692307692308
180,91,0.0017035775127768314
182,92,0.003683241252302026
184,93,0.0022522522522522522
186,94,0.0026246719160104987
190,97,0.0078125
192,98,0.0036231884057971015
194,99,0.0036496350364963502
